MG,31016,Nanuque,-17.8394201,-40.3494472
MG,31017,Ituiutaba,-18.9691887,-49.4639335
MG,31018,Uberlândia,-18.9188041,-48.2767837
MG,31019,Patrocínio,-18.9408294,-46.9926624
MG,31020,Patos de Minas,-18.6041453,-46.5096698
MG,31021,Frutal,-20.0220064,-48.9280076
MG,31022,Uberaba,-19.750833,-47.936666
MG,31023,Araxá,-19.5928536,-46.940241
MG,31024,Três Marias,-18.204795,-45.247289
MG,31025,Curvelo,-18.7571926,-44.4305993
MG,31026,Bom Despacho,-19.7375242,-45.2517288
MG,31027,Sete Lagoas,-19.466111,-44.246944
MG,31028,Conceição do Mato Dentro,-19.037222,-43.425278
MG,31029,Pará de Minas,-19.8599637,-44.6075313
MG,31030,Belo Horizonte,-19.9225776,-43.9451356
MG,31031,Itabira,-19.6186264,-43.2267011
MG,31032,Itaguara,-20.391389,-44.488055
MG,31033,Ouro Preto,-20.385527,-43.5035214
MG,31034,Conselheiro Lafaiete,-20.6596107,-43.785743
MG,31035,Guanhães,-18.7753627,-42.9340634
MG,31036,Peçanha,-18.5478786,-42.5608947
MG,31037,Governador Valadares,-18.8539497,-41.9458753
MG,31038,Mantena,-18.7809937,-40.9808279
MG,31039,Ipatinga,-19.4777807,-42.5270802
MG,31040,Caratinga,-19.7900887,-42.140533
MG,31041,Aimorés,-19.4917754,-41.0615603
MG,31042,Piuí,-20.6231345,-46.073426704444444
MG,31043,Divinópolis,-20.1597921,-44.8739341
MG,31044,Formiga,-20.4648425,-45.4266753
MG,31045,Campo Belo,-20.8975,-45.277223
MG,31046,Oliveira,-18.9458079,-48.3777522
MG,31047,Passos,-20.7167803,-46.6156864
MG,31048,São Sebastião do Paraíso,-20.9124331,-46.9823296
MG,31049,Alfenas,-21.4297405,-45.9479419
MG,31050,Varginha,-21.5565914,-45.4340674
MG,31051,Poços de Caldas,-21.7900318,-46.5647928
MG,31052,Pouso Alegre,-22.2343858,-45.9327241
MG,31053,Santa Rita do Sapucaí,-22.2486968,-45.7064507
MG,31054,São Lourenço,-20.3216547,-45.707873
MG,31055,Andrelândia,-21.739722,-44.308889
MG,31056,Itajubá,-22.4238234,-45.4524156
MG,31057,Lavras,-21.2425512,-44.9991978
MG,31058,São João Del Rei,-21.1335755,-44.2588086
MG,31059,Barbacena,-21.2254524,-43.7735087
MG,31060,Ponte Nova,-19.5291103,-42.5999003
MG,31061,Manhuaçu,-20.2574434,-42.0340769
MG,31062,Viçosa,-20.7538586,-42.8815888
MG,31063,Muriaé,-21.130556,-42.366389
MG,31064,Ubá,-21.12,-42.942777
MG,31065,Juiz de Fora,-21.7609533,-43.3501129
MG,31066,Cataguases,-21.387426,-42.6957219
ES,32002,Nova Venécia,-18.7082527,-40.400152
ES,32005,São Mateus,-18.7146049,-39.8539499
ES,32007,Afonso Cláudio,-20.077841,-41.12606
ES,32008,Santa Teresa,37.6800481,-1.2050479
RJ,33001,Itaperuna,-21.2048,-41.88801
RJ,33003,Campos dos Goytacazes,-21.7558619,-41.3326895
RJ,33004,Macaé,-22.3712958,-41.7866922
RJ,33005,Três Rios,-22.1167884,-43.2087226
RJ,33006,Cantagalo-Cordeiro,-22.0095116,-42.3682272
RJ,33007,Nova Friburgo,-22.2800004,-42.5325303
RJ,33008,Santa Maria Madalena,-21.9557957,-42.008283
RJ,33012,Barra do Piraí,-22.4703403,-43.8263256
RJ,33013,Baía da Ilha Grande,-23.11200065,-44.46559167011121
RJ,33014,Vassouras,-22.4093928,-43.6609318
RJ,33015,Serrana,-22.4879594,-43.1778679
RJ,33017,Itaguaí,-22.8629597,-43.775322
RJ,33018,Rio de Janeiro,-22.3935099,-42.3058314
SP,35004,São José do Rio Preto,-20.81585905,-49.38094891178036
SP,35008,Novo Horizonte,-21.4779171,-49.218047674999994
SP,35012,Franca,50.297984549999995,2.736723167968081
SP,35014,Ribeirão Preto,-21.178333,-47.8066671
SP,35016,Andradina,-22.6210038,-53.1049713
SP,35017,Araçatuba,-21.2283556,-50.4370715
SP,35019,Lins,-21.6741873,-49.7518932
SP,35022,Avaré,-23.1045215,-48.9259103
SP,35023,Botucatu,-22.8879628,-48.4410712
SP,35024,Araraquara,-21.7886713,-48.1773096
SP,35025,São Carlos,-22.0180395,-47.891154
SP,35026,Rio Claro,-22.4100108,-47.5603933
SP,35027,Limeira,-22.5615068,-47.401766
SP,35028,Piracicaba,-22.725165,-47.6493269
SP,35031,Mogi Mirim,-22.433123,-46.958246
SP,35032,Campinas,-23.2553918,-46.3485483
SP,35034,Dracena,-21.4835523,-51.5334408
SP,35035,Adamantina,-21.6866517,-51.0762975
SP,35036,Presidente Prudente,-22.1225167,-51.3882528
SP,35037,Tupã,-21.9349129,-50.5141255
SP,35039,Assis,-22.6620892,-50.420623
SP,35042,Itapetininga,-23.588607,-48.048326
SP,35043,Tatuí,-23.3518451,-47.848026
SP,35044,Capão Bonito,-24.0048759,-48.3489848
SP,35046,Sorocaba,-23.5003451,-47.4582864
SP,35047,Jundiaí,-23.1887668,-46.884506
SP,35048,Bragança Paulista,-22.9520235,-46.5418586
SP,35049,Campos do Jordão,-22.7395263,-45.5912829
